['St. Lucia', 'Organic Carbon', -9],
['Tonga', 'Organic Carbon', -10],
['Uzbekistan', 'Organic Carbon', -3],
['Pakistan', 'Organic Carbon', -6],
['Gaza Strip', 'Organic Carbon', -6],
['Bangladesh', 'Organic Carbon', -7],
['Central African Republic', 'Organic Carbon', -11],
['Bermuda', 'Organic Carbon', -6],
['Mali', 'Organic Carbon', -9],
['Bulgaria', 'Organic Carbon', -11],
['Isle of Man', 'Organic Carbon', -13],
['Sierra Leone', 'Organic Carbon', -9],
['Iraq-Saudi Arabia Neutral Zone', 'Organic Carbon', -6],
['Mongolia', 'Organic Carbon', -13],
['Slovenia', 'Organic Carbon', -11],
['Malaysia', 'Organic Carbon', -10],
['India', 'Organic Carbon', -7],
['Reunion', 'Organic Carbon', -8],
['Myanmar (Burma)', 'Organic Carbon', -8],
['Guinea', 'Organic Carbon', -10],
['St. Christopher-Nevis', 'Organic Carbon', -7],
['Zaire', 'Organic Carbon', -10],
['Svalbard', 'Organic Carbon', -10],
['Malta', 'Organic Carbon', -5],
['Montenegro', 'Organic Carbon', -9],
['Grenada', 'Organic Carbon', -10],
['Luxembourg', 'Organic Carbon', -12],
['Tajikistan', 'Organic Carbon', -5],
['Equatorial Guinea', 'Organic Carbon', -9],
['Japan', 'Organic Carbon', -10],
['Djibouti', 'Organic Carbon', -10],
['Falkland Islands (Islas Malvinas)', 'Organic Carbon', -11],
['Lithuania', 'Organic Carbon', -12],
['Andorra', 'Organic Carbon', -8],
['Bahrain', 'Organic Carbon', -7],
['Oman', 'Organic Carbon', -8],
['Vietnam', 'Organic Carbon', -10],
['Macau', 'Organic Carbon', -10],
['Western Samoa', 'Organic Carbon', -8],
['Malawi', 'Organic Carbon', -7],
['Libya', 'Organic Carbon', -6],
['New Zealand', 'Organic Carbon', -14],
['Dominican Republic', 'Organic Carbon', -7],
['Czech Republic', 'Organic Carbon', -13],
['Jordan', 'Organic Carbon', -6],
['Saudi Arabia', 'Organic Carbon', -7],
['Egypt', 'Organic Carbon', -7],
['Russia', 'Organic Carbon', -8],
['Lesotho', 'Organic Carbon', -8],
['Angola', 'Organic Carbon', -10],
['Botswana', 'Ammonia', -4],
['Brazil', 'Ammonia', -2],
['Ivory Coast', 'Ammonia', -2],
['Barbados', 'Ammonia', -1],
['Costa Rica', 'Ammonia', 0],
['Sao Tome and Principe', 'Ammonia', -1],
['Moldova', 'Ammonia', -10],
['San Marino', 'Ammonia', -4],
['Chad', 'Ammonia', -4],
['Ireland', 'Ammonia', -7],
['Sri Lanka', 'Ammonia', 0],
['Bhutan', 'Ammonia', -6],
['Liberia', 'Ammonia', -1],
['Nepal', 'Ammonia', -3],
['Romania', 'Ammonia', -10],
['United Kingdom', 'Ammonia', -13],
['Zimbabwe', 'Ammonia', -3],
['Ecuador', 'Ammonia', -1],
['Namibia', 'Ammonia', -4],
['Iceland', 'Ammonia', -7],
['Guinea-Bissau', 'Ammonia', -1],
['Greece', 'Ammonia', -6],
['Indonesia', 'Ammonia', -1],
['Burundi', 'Ammonia', -2],
['Ukraine', 'Ammonia', -12],
['Switzerland', 'Ammonia', -9],
['Israel', 'Ammonia', -1],
['El Salvador', 'Ammonia', -1],
['Mauritania', 'Ammonia', -2],
['Portugal', 'Ammonia', -4],
['Yemen', 'Ammonia', -3],
['United Arab Emirates', 'Ammonia', -3],
['Lebanon', 'Ammonia', -2],
['Armenia', 'Ammonia', -5],
['French Polynesia', 'Ammonia', 0],
['Venezuela', 'Ammonia', -1],
['Turks and Caicos Islands', 'Ammonia', 0],
['Benin', 'Ammonia', -2],
['Peru', 'Ammonia', -2],
['Haiti', 'Ammonia', 0],
['Bosnia and Herzegovina', 'Ammonia', -8],
['Brunei', 'Ammonia', -2],
['Morocco', 'Ammonia', -2],
['China', 'Ammonia', -9],
['Yugoslavia', 'Ammonia', -9],
['Iran', 'Ammonia', -3],
['Cyprus', 'Ammonia', -2],
['Eritrea', 'Ammonia', -3],
['Spain', 'Ammonia', -5],
['Honduras', 'Ammonia', -1],
['New Caledonia', 'Ammonia', -2],
['Austria', 'Ammonia', -11],
['Netherlands', 'Ammonia', -15],
['Rwanda', 'Ammonia', -1],
['Georgia', 'Ammonia', -6],
['Cambodia', 'Ammonia', -1],
['Thailand', 'Ammonia', -2],
['Cape Verde', 'Ammonia', -4],
['Mexico', 'Ammonia', -5],
['Antarctica', 'Ammonia', #VALUE!],
['Comoros', 'Ammonia', 0],
['Gambia, The', 'Ammonia', -2],
['Seychelles', 'Ammonia', #VALUE!],
